"x";"y";"Month";"MR";"MT";"MV"
148,95;-35,15;"05";NA;NA;NA
148,95;-35,15;"06";NA;NA;NA
148,95;-35,15;"07";NA;NA;NA
148,95;-35,15;"08";NA;NA;NA
148,95;-35,15;"09";NA;NA;NA
148,95;-35,15;"10";NA;NA;NA
148,95;-35,15;"11";NA;NA;NA
148,95;-35,15;"12";NA;NA;NA
149;-35,15;"01";NA;NA;NA
149;-35,15;"02";NA;NA;NA
149;-35,15;"03";NA;NA;NA
149;-35,15;"04";NA;NA;NA
149;-35,15;"05";NA;NA;NA
149;-35,15;"06";NA;NA;NA
149;-35,15;"07";NA;NA;NA
149;-35,15;"08";NA;NA;NA
149;-35,15;"09";NA;NA;NA
149;-35,15;"10";NA;NA;NA
149;-35,15;"11";NA;NA;NA
149;-35,15;"12";NA;NA;NA
149,05;-35,15;"01";61,3633333333318;27,6590322580645;2,42585648867071
149,05;-35,15;"02";49,4166666666654;27,3411494252874;2,29479953247644
149,05;-35,15;"03";54,3966666666654;24,49;1,81851356125647
149,05;-35,15;"04";59,933333333332;19,8154444444444;1,24333152114517
149,05;-35,15;"05";54,7933333333317;15,1140860215054;0,829411582600686
149,05;-35,15;"06";39,8199999999981;11,9023333333333;0,646187386198176
149,05;-35,15;"07";56,6366666666647;10,8723655913979;0,61854467957571
149,05;-35,15;"08";68,0766666666644;12,5322580645161;0,722742683552606
149,05;-35,15;"09";66,5866666666645;15,5933333333333;0,949049269217584
149,05;-35,15;"10";68,9466666666645;19,1850537634409;1,27156789171439
149,05;-35,15;"11";62,0933333333317;22,6152222222222;1,6985892025133
149,05;-35,15;"12";60,9733333333318;25,9166666666667;2,19425958260413
